id,orderId,userId,type,description,reportedAt,attachments,severity,status,resolvedAt,resolvedBy,issueRef
c6b0fd3c-a83b-4a81-98ed-5a0aa8da4433,ORD-72175,USR-2844,LateDelivery,"Food was 2 hours late, not happy with service.",11/8/2024 13:39,"image_2308.jpg,image_7553.jpg",high,Escalated,,,REF-511929
306d8f9e-703f-4a94-b29e-c680329fc185,ORD-51351,USR-7975,MissingItem,"salad was missing, please resolve.",8/23/2024 13:39,image_4726.jpg,low,Open,,,REF-553700
19d8207b-5eb6-406b-b3cf-ac3a4a49011a,ORD-74787,USR-4442,WrongOrder,"Delivered fries, but I wanted sandwich.",10/27/2024 13:39,image_3669.jpg,low,Open,,,REF-405496
749b6fa4-9cdc-470e-aac1-be6253bb42f8,ORD-23914,USR-9189,DamagedFood,"sandwich arrived cold, need replacement.",10/17/2024 13:39,"image_4486.jpg,image_4446.jpg",low,Open,,,REF-430727
80829ca8-6964-4d96-ba6e-321f96de22a3,ORD-76221,USR-5615,LateDelivery,"Order was 30 minutes late, food arrived cold.",2/5/2025 13:39,,low,Open,,,REF-927275
74a4d7fc-4f1c-4c9f-844f-4e529b6bf516,ORD-92917,USR-3619,DamagedFood,"salad was crushed, unacceptable quality.",9/16/2024 13:39,,high,Open,,,REF-157652
50d7ac39-cff2-481f-9af9-8f8edfc6d42a,ORD-77531,USR-6248,WrongOrder,Received salad instead of sushi.,7/28/2024 13:39,"image_4543.jpg,image_9814.jpg",low,Open,,,REF-533997
b2128594-11f4-4a6b-9298-38059ee524d5,ORD-47327,USR-9138,WrongOrder,"Wrong order delivered, got burger not burger.",1/5/2025 13:39,,low,Resolved,1/6/2025 11:39,MOD-13,REF-500401
b1e8a59d-d0cf-4e38-bdc7-a92f0e03f485,ORD-73549,USR-5906,PoorQuality,"Food was tasteless, not up to standard.",7/6/2024 13:39,,low,Open,,,REF-765659
3b71ba9d-a3f6-4d0c-bd73-33b6b0a7d865,ORD-17724,USR-9572,MissingItem,"sandwich was missing, please resolve.",12/7/2024 13:39,,low,Escalated,,,REF-277051
9021f05c-e890-4455-9d0d-088677fa82b8,ORD-69432,USR-5995,PoorQuality,"Very poor quality burger, not edible.",10/10/2024 13:39,,low,Resolved,10/12/2024 7:39,MOD-2,REF-406645
9c538630-6245-4165-99cc-5314d24dfdf9,ORD-42504,USR-7242,WrongOrder,"I ordered pizza, but got salad.",10/3/2024 13:39,,low,Open,,,REF-448738
8836f64d-8828-4a05-8281-f33630905175,ORD-80760,USR-9676,MissingItem,"Order incomplete, pizza was not delivered.",4/16/2025 13:39,"image_2538.jpg,image_6566.jpg",low,Open,,,REF-591546
9f5b15a0-7014-4465-86f3-30ba37b23555,ORD-16053,USR-6252,LateDelivery,"Waited 1 hour for my order, very frustrating.",8/6/2024 13:39,"image_2188.jpg,image_3791.jpg",medium,Open,,,REF-796310
a58d7f0e-c96a-4fbc-bc97-4e381df9b77b,ORD-50554,USR-8868,WrongOrder,"Wrong order delivered, got burger not sandwich.",3/29/2025 13:39,,low,Resolved,3/31/2025 8:39,MOD-7,REF-897038
3822f2e1-cb4a-474c-8aa6-96f815bee451,ORD-31602,USR-6019,MissingItem,"Did not receive pasta, need a refund.",3/31/2025 13:39,,low,Open,,,REF-656703
9d211614-672e-44de-a233-d18436fc006b,ORD-37257,USR-4021,MissingItem,"sandwich was missing, please resolve.",4/12/2025 13:39,,low,Open,,,REF-735506
1e8160e0-bd58-4809-a641-a88da243804b,ORD-67939,USR-7118,LateDelivery,"Delivery took 2 hours, completely unacceptable!",3/29/2025 13:39,,high,Escalated,,,REF-494249
2dd0e6a7-4477-4340-abcf-722add816775,ORD-47617,USR-8927,LateDelivery,"Food was 90 minutes late, not happy with service.",3/8/2025 13:39,,medium,Escalated,,,REF-199946
a9ff2504-a725-4d86-ae08-d2c1e7bac551,ORD-26974,USR-4484,DamagedFood,"burger arrived tasteless, need replacement.",7/30/2024 13:39,"image_9616.jpg,image_2977.jpg",low,Open,,,REF-718997
4527d165-2ee5-4946-b683-11896eb40d19,ORD-83238,USR-8620,MissingItem,"Missing sushi from my order, very disappointing.",1/30/2025 13:39,,low,Resolved,2/1/2025 4:39,MOD-16,REF-248076
c7d6b8a5-e8a3-412c-98cf-0173ef9f7b1d,ORD-79692,USR-7221,WrongOrder,"I ordered sandwich, but got burger.",4/18/2025 13:39,,low,Resolved,4/20/2025 0:39,MOD-17,REF-975254
f11204e0-05c0-426f-a762-57776aaffae2,ORD-24255,USR-8913,MissingItem,"Order incomplete, fries was not delivered.",3/13/2025 13:39,,low,Open,,,REF-107250
a047b9ca-ea7d-4dc7-aa76-5c2b4824befa,ORD-77126,USR-8831,MissingItem,"Did not receive sushi, need a refund.",6/30/2024 13:39,,low,Resolved,7/1/2024 8:39,MOD-12,REF-485832
f0320e90-2ce9-45ee-8956-375acda8b60e,ORD-66321,USR-5530,DamagedFood,"pasta was crushed, unacceptable quality.",7/4/2024 13:39,,high,Escalated,,,REF-573737
d82469e4-5380-44df-9b45-da2963e75ed0,ORD-95183,USR-7368,PoorQuality,"salad tasted cold, awful experience.",9/18/2024 13:39,image_7737.jpg,low,Resolved,9/18/2024 21:39,MOD-6,REF-677428
42efe10d-5be7-4b53-8bb1-e6f61eb89816,ORD-38711,USR-2578,DamagedFood,"pasta arrived soggy, need replacement.",12/18/2024 13:39,,low,Open,,,REF-300032
a73b0ae4-19c8-45a5-84a6-518fa87720d5,ORD-95436,USR-6239,PoorQuality,"pasta was spoiled, never ordering again.",7/30/2024 13:39,,high,Escalated,,,REF-917121
543f0454-ebd3-4643-b04e-788f75b1965a,ORD-34819,USR-5025,LateDelivery,"Delivery took 1 hour, completely unacceptable!",8/19/2024 13:39,,high,Open,,,REF-526064
28ce7dd0-cd64-4876-92d2-e05e43d6e2d4,ORD-48906,USR-2702,WrongOrder,Received pasta instead of pasta.,3/22/2025 13:39,,low,Resolved,3/24/2025 10:39,MOD-7,REF-994370
95dfdeec-ac50-48a1-bd2f-10306d981dd5,ORD-42502,USR-2774,PoorQuality,"Food was tasteless, not up to standard.",1/4/2025 13:39,image_6173.jpg,low,Open,,,REF-244965
b6bcfdff-d4e4-4a5f-a56b-2e4dc2b02dc7,ORD-43648,USR-5923,LateDelivery,"Delivery took 2 hours, completely unacceptable!",12/1/2024 13:39,,high,Open,,,REF-426406
2c2fca83-f6b5-480d-8139-51925474eeeb,ORD-78350,USR-6721,MissingItem,"Order incomplete, sandwich was not delivered.",9/22/2024 13:39,,low,Resolved,9/23/2024 16:39,MOD-12,REF-161564
164d9bc0-a6bc-4c6d-9cab-a9c248e0832d,ORD-22417,USR-5056,PoorQuality,"Food was cold, not up to standard.",3/5/2025 13:39,image_2365.jpg,low,Resolved,3/6/2025 14:39,MOD-15,REF-737324
