id,orderId,userId,type,description,reportedAt,attachments,severity,status,resolvedAt,resolvedBy,issueRef
e658d532-327f-41a9-88ef-fcc18f4639bb,COM-74580,USR-4087,EmballageDéfectueux,"Emballage de riz un peu renversé, qualité moyenne.",2024-09-26 15:03:07,"image_3014.jpg,image_6293.jpg",moyen,Escaladé,,,REF-813132
6326d41a-5136-46b8-a80f-0a7f1be91a8b,COM-72297,USR-4105,CommandeIncomplète,"Erreur mineure, nuggets oublié dans la commande.",2024-12-09 15:03:07,"image_6293.jpg,image_2919.jpg",moyen,Escaladé,,,REF-883265
b5bfce85-4b11-42da-b7bc-68373f243226,COM-90057,USR-1176,CommandeIncomplète,"Oubli de riz, expérience client médiocre.",2024-07-22 15:03:07,image_1517.jpg,élevé,Résolu,2024-07-23 10:03:07,MOD-15,REF-905221
f60192a9-3ed0-4c8f-a531-111b1e4e2bf2,COM-66035,USR-7993,AllergèneNonSignale,"Etiquetage incomplet pour riz, expérience mitigée.",2024-12-02 15:03:07,,faible,Escaladé,,,REF-890896
c6a2be90-d86c-4aa7-b761-f10d43cf27e8,COM-63666,USR-2885,CommandeErronée,"Commande partiellement incorrecte, sauce au lieu de sandwich.",2025-02-21 15:03:07,,faible,Résolu,2025-02-23 04:03:07,MOD-17,REF-201241
c5510caf-4e88-4401-aab7-70ba327dfb27,COM-32096,USR-7441,ProblèmePaiement,"Facturation incorrecte pour pâtes, vérification nécessaire.",2025-01-23 15:03:07,,faible,Ouvert,,,REF-452518
b481e93d-fa6c-4fa7-81ba-72d4be2862ca,COM-38524,USR-3524,AllergèneNonSignale,"Etiquetage incomplet pour riz, expérience mitigée.",2024-11-03 15:03:07,"image_6654.jpg,image_6790.jpg",faible,Résolu,2024-11-05 13:03:07,MOD-26,REF-101654
37b24c29-91ca-45c4-9d0b-d5ca37ea7a7f,COM-88656,USR-7692,LivraisonRetard,"J'ai attendu 3 heures, extrêmement frustrant et incommode.",2024-11-13 15:03:07,,élevé,Ouvert,,,REF-999458
600edf51-90f8-4fe4-8483-af08091f7c24,COM-69837,USR-6353,HygieneProblème,"Léger problème d'hygiène avec boisson, mais comestible.",2025-02-16 15:03:07,,moyen,Ouvert,,,REF-789045
56a8eddc-04a2-4936-86f9-be4e69863240,COM-75080,USR-4561,ServiceClient,"Service client un peu lent, mais réponse acceptable.",2025-06-15 15:03:07,"image_2893.jpg,image_2321.jpg",moyen,Escaladé,,,REF-132550
07d19a56-9acd-49ce-ab43-105d4162f621,COM-98850,USR-2710,CommandeErronée,"Commande partiellement incorrecte, dessert au lieu de salade.",2024-09-14 15:03:07,image_6974.jpg,moyen,Escaladé,,,REF-517817
65a067c1-c0fd-4564-8e7c-cbb2de2d1474,COM-50861,USR-7728,ProblèmePaiement,"Petite erreur de paiement, mais à corriger rapidement.",2025-02-04 15:03:07,,faible,Escaladé,,,REF-308376
36ee2831-4d11-4953-a2c5-37678bdea699,COM-10148,USR-5321,EmballageDéfectueux,"Léger défaut d'emballage pour pain, à améliorer.",2024-09-06 15:03:07,,faible,Escaladé,,,REF-153985
a076cb5d-50b9-4beb-98a1-713cca523112,COM-60074,USR-5962,NourritureEndommagée,"Nourriture surcuit, mais pas un gros problème.",2025-01-29 15:03:07,,moyen,Ouvert,,,REF-665051
2c3b7fb2-3480-4820-8398-bfc5acc43e36,COM-34886,USR-3762,ProblèmePaiement,"Surfacturation pour dessert, service client inacceptable.",2025-01-23 15:03:07,,élevé,Ouvert,,,REF-131569
a41a4c39-e8c1-43f0-9d18-336c4efeded5,COM-45994,USR-1498,LivraisonRetard,"Attente de 30 minutes, service à améliorer mais pas catastrophique.",2025-05-23 15:03:07,,moyen,Escaladé,,,REF-755544
eb7e6bd5-3dfa-4f67-bce0-33aa592613f2,COM-16716,USR-8880,MauvaiseQualité,"pâtes était fade, je ne commanderai plus jamais !",2025-04-07 15:03:07,image_7952.jpg,élevé,Résolu,2025-04-08 12:03:07,MOD-27,REF-741291
c7e5463e-898c-4c73-82cb-a675bfcdb347,COM-67611,USR-1670,LivraisonRetard,"Commande arrivée après 15 minutes, c'est scandaleux et perturbant !",2025-02-15 15:03:07,,moyen,Ouvert,,,REF-210024
1db4d056-3414-4518-9e1a-b98741de0a15,COM-93567,USR-3125,ServiceClient,"Légère attente avec le service client, rien de grave.",2024-09-10 15:03:07,,moyen,Ouvert,,,REF-156832
fa6217f9-75f2-4528-8857-def9fdc3b285,COM-52436,USR-1337,CommandeErronée,"riz livré par erreur, mais le goût était correct.",2025-05-05 15:03:07,,faible,Résolu,2025-05-07 12:03:07,MOD-43,REF-318599
cb3218aa-db84-4b64-addd-36c5bb40c672,COM-49239,USR-2525,HygieneProblème,"Problème d'hygiène avec sauce, investigation urgente requise.",2024-11-02 15:03:07,,moyen,Résolu,2024-11-02 21:03:07,MOD-18,REF-944416
85c29896-d444-4cb6-9b67-f83206496381,COM-68712,USR-5328,RetardRemboursement,"Léger retard de remboursement, mais acceptable.",2024-11-02 15:03:07,image_8263.jpg,moyen,Ouvert,,,REF-981420
770320e0-d4f8-4705-b79a-81e02be526f4,COM-66118,USR-6138,HygieneProblème,"Petite anomalie d'hygiène dans dessert, à vérifier.",2025-06-19 15:03:07,,faible,Ouvert,,,REF-639015
509a0080-1a43-40c7-a79f-ce5cf79ff8ef,COM-67522,USR-5159,CommandeErronée,Erreur sur la commande : pâtes à la place de boisson.,2024-07-06 15:03:07,image_4715.jpg,faible,Ouvert,,,REF-426791
52c4fbbf-f7d4-4b76-80c7-05ac0994a444,COM-99655,USR-8730,ArticleManquant,"pizza manquant, expérience client médiocre.",2025-04-26 15:03:07,image_3504.jpg,moyen,Résolu,2025-04-27 20:03:07,MOD-14,REF-168951
cb7af964-a73b-4653-aa0f-5ec2113411ff,COM-99362,USR-6335,CommandeErronée,"Commande partiellement incorrecte, sauce au lieu de sushi.",2024-09-15 15:03:07,image_4611.jpg,moyen,Résolu,2024-09-17 10:03:07,MOD-15,REF-891833
27b29403-2ad3-4209-9aff-afe12a7fcd87,COM-22732,USR-3078,AllergèneNonSignale,"Allergène non signalé dans sushi, à vérifier.",2025-02-12 15:03:07,,élevé,Ouvert,,,REF-361951
5306c766-2fc5-421f-844a-decfb37aa80c,COM-95739,USR-3161,CommandeErronée,Erreur sur la commande : sandwich à la place de wrap.,2024-09-09 15:03:07,,faible,Résolu,2024-09-10 14:03:07,MOD-34,REF-703626
65a06e94-339e-4ce4-a123-6dc708fc8514,COM-11268,USR-4242,LivraisonRetard,"Livraison retardée de 15 minutes, léger désagrément mais tolérable.",2024-12-12 15:03:07,image_4583.jpg,moyen,Résolu,2024-12-13 19:03:07,MOD-41,REF-699734
8710e517-300f-4ad0-b1c9-b7ce0b785ead,COM-53745,USR-7835,NourritureEndommagée,"Nourriture mal emballé, mais pas un gros problème.",2024-12-06 15:03:07,,moyen,Escaladé,,,REF-448145
dfb745fa-dbd4-4356-b32f-117ca75292f1,COM-96121,USR-7848,ServiceClient,"Service client a répondu, mais avec du retard.",2024-09-01 15:03:07,,faible,Ouvert,,,REF-168799
012308cb-cbd3-4a5e-b795-cdb379894200,COM-67719,USR-7712,ProblèmePaiement,"Léger souci de facturation, mais résolu rapidement.",2025-04-03 15:03:07,,faible,Résolu,2025-04-03 23:03:07,MOD-32,REF-432127
d78c3456-292c-4310-ba6a-fd7994207142,COM-18173,USR-8010,EmballageDéfectueux,"Emballage de sauce était renversé, contenu endommagé.",2024-09-18 15:03:07,image_7660.jpg,faible,Ouvert,,,REF-398217
5064264e-8423-4a41-ad41-1ec673621866,COM-33503,USR-1370,NourritureEndommagée,"Nourriture déchiré, mais pas un gros problème.",2025-02-07 15:03:07,,moyen,Ouvert,,,REF-249579
e92aec0d-daa0-4cf8-a913-4988d9805371,COM-31324,USR-6026,AllergèneNonSignale,"Allergène non signalé dans frites, danger pour la santé !",2024-11-28 15:03:07,image_5625.jpg,élevé,Ouvert,,,REF-418735
b5d2df2d-a4f0-457c-a7d0-cb77f7b73c04,COM-77301,USR-7507,LivraisonRetard,"Commande arrivée après 15 minutes, c'est scandaleux et perturbant !",2025-06-10 15:03:07,image_2696.jpg,élevé,Résolu,2025-06-10 20:03:07,MOD-33,REF-649038
b42c0a0b-468f-4394-b1f5-8807723229b1,COM-43839,USR-2362,CommandeErronée,"Commande incorrecte, livré soupe et non boisson.",2024-11-14 15:03:07,"image_4551.jpg,image_4459.jpg",moyen,Escaladé,,,REF-512218
9e7fc200-c6bd-42d6-a378-cc5a7abe0e70,COM-63592,USR-6300,ProblèmePaiement,"Surfacturation pour boisson, service client inacceptable.",2024-10-11 15:03:07,image_4074.jpg,élevé,Ouvert,,,REF-439268
52cfafed-2f6f-4171-9798-235bcdaa3790,COM-54892,USR-9303,HygieneProblème,"dessert contenait fade, danger sanitaire grave.",2024-12-05 15:03:07,,moyen,Escaladé,,,REF-117352
5c03d0a2-562b-411e-9739-0d12acd17aa0,COM-72543,USR-4262,ProblèmePaiement,"Problème de paiement mineur, mais service à améliorer.",2025-03-26 15:03:07,,moyen,Ouvert,,,REF-115156
6d3f5e98-6069-4a0d-93ef-0ec682924c2d,COM-71781,USR-2157,HygieneProblème,"Petite anomalie d'hygiène dans frites, à vérifier.",2025-06-10 15:03:07,,faible,Ouvert,,,REF-321025
ae7be8a3-0df4-40f9-8e20-bbcb87da87e0,COM-16509,USR-6327,CommandeIncomplète,"Commande partielle, sushi non livré, frustrant.",2024-08-13 15:03:07,"image_1451.jpg,image_2985.jpg",moyen,Escaladé,,,REF-613281
ecc0e230-c06e-4b48-9d4d-79757f56eae8,COM-70913,USR-4763,HygieneProblème,"Nourriture contaminée par mal emballé, c'est scandaleux !",2024-10-28 15:03:07,,moyen,Ouvert,,,REF-162710
a3d34019-aa61-4685-8e7b-cd373723a1b3,COM-35824,USR-6046,EmballageDéfectueux,"burger livré avec un emballage renversé, inacceptable.",2024-11-13 15:03:07,,faible,Résolu,2024-11-14 17:03:07,MOD-15,REF-280856
669ae9a8-faef-4b26-ac3a-1f37990c446f,COM-84262,USR-5023,CommandeIncomplète,"Petite omission, frites manquait mais acceptable.",2025-01-21 15:03:07,image_5059.jpg,moyen,Résolu,2025-01-23 15:03:07,MOD-33,REF-225078
73fe39c8-ed2b-4fc0-b252-4e1679f1123a,COM-37073,USR-4332,MauvaiseQualité,"Légère déception avec pain, qualité gâté.",2024-11-28 15:03:07,,moyen,Résolu,2024-11-30 11:03:07,MOD-41,REF-866317
0065e929-7d2f-42d4-bb65-0de3cb3b1707,COM-94306,USR-9430,ServiceClient,"Service client un peu lent, mais réponse acceptable.",2025-05-24 15:03:07,image_7689.jpg,élevé,Ouvert,,,REF-397933
